titleId;ordering;title;region;language;types;attributes;isOriginalTitle;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes;pais
tt5052474;1;Sicario: Day of the Soldado;\N;\N;original;\N;1;tt5052474;movie;Sicario: Day of the Soldado;Sicario: Day of the Soldado;0;2018;\N;122;Action,Crime,Drama;7.1;181857;Estados Unidos da América
tt5083738;1;The Favourite;\N;\N;original;\N;1;tt5083738;movie;The Favourite;The Favourite;0;2018;\N;119;Biography,Comedy,Drama;7.5;248942;Irlanda, Reino Unido, Estados Unidos da América
tt5093026;1;Papillon;\N;\N;original;\N;1;tt5093026;movie;Papillon;Papillon;0;2017;\N;133;Adventure,Biography,Crime;7.2;92033;Estados Unidos da América, República Tcheca, Espanha
tt5095030;1;Ant-Man and the Wasp;\N;\N;original;\N;1;tt5095030;movie;Ant-Man and the Wasp;Ant-Man and the Wasp;0;2018;\N;118;Action,Adventure,Comedy;7.0;476399;Estados Unidos da América, Canadá
tt5104604;1;Isle of Dogs;\N;\N;original;\N;1;tt5104604;movie;Isle of Dogs;Isle of Dogs;0;2018;\N;101;Adventure,Animation,Comedy;7.8;201950;Reino Unido, Alemanha, Japão, Estados Unidos da América
tt5109280;1;Raya and the Last Dragon;\N;\N;original;\N;1;tt5109280;movie;Raya and the Last Dragon;Raya and the Last Dragon;0;2021;\N;107;Action,Adventure,Animation;7.3;181902;Estados Unidos da América
tt5151570;1;Mrs. Harris Goes to Paris;\N;\N;original;\N;1;tt5151570;movie;Mrs. Harris Goes to Paris;Mrs. Harris Goes to Paris;0;2022;\N;115;Comedy,Drama;7.1;35147;Reino Unido, França, Hungria
tt5164432;1;Love, Simon;\N;\N;original;\N;1;tt5164432;movie;Love, Simon;Love, Simon;0;2018;\N;110;Comedy,Drama,Romance;7.5;131151;Estados Unidos da América
tt5168192;1;I, Daniel Blake;\N;\N;original;\N;1;tt5168192;movie;I, Daniel Blake;I, Daniel Blake;0;2016;\N;100;Drama;7.8;67033;Reino Unido, França, Bélgica
tt5186714;1;Forooshande;\N;\N;original;\N;1;tt5186714;movie;The Salesman;Forooshande;0;2016;\N;124;Drama,Thriller;7.7;67161;Irã, França, Catar, Estados Unidos da América
tt5198068;1;WolfWalkers;\N;\N;original;\N;1;tt5198068;movie;Wolfwalkers;WolfWalkers;0;2020;\N;103;Action,Adventure,Animation;8.0;42386;Irlanda, Luxemburgo, França, China, Estados Unidos da América
tt5215952;1;Gokseong;\N;\N;original;\N;1;tt5215952;movie;The Wailing;Gokseong;0;2016;\N;156;Drama,Horror;7.4;92045;Coreia do Sul, Estados Unidos da América
tt5247022;1;Paterson;\N;\N;original;\N;1;tt5247022;movie;Paterson;Paterson;0;2016;\N;118;Comedy,Drama,Romance;7.3;92672;França, Alemanha, Estados Unidos da América
tt5302918;1;Nyad;\N;\N;original;\N;1;tt5302918;movie;Nyad;Nyad;0;2023;\N;121;Biography,Drama,Sport;7.1;43283;Estados Unidos da América
tt5311514;1;Kimi no na wa.;\N;\N;original;\N;1;tt5311514;movie;Your Name.;Kimi no na wa.;0;2016;\N;106;Animation,Drama,Fantasy;8.4;362599;Japão
tt5323662;1;Koe no katachi;\N;\N;original;\N;1;tt5323662;movie;A Silent Voice: The Movie;Koe no katachi;0;2016;\N;130;Animation,Drama;8.1;123955;Japão
tt5354160;1;Aynabaji;\N;\N;original;\N;1;tt5354160;movie;Mirror Game;Aynabaji;0;2016;\N;147;Crime,Mystery,Thriller;8.9;30625;Bangladesh
tt5362988;1;Wind River;\N;\N;original;\N;1;tt5362988;movie;Wind River;Wind River;0;2017;\N;107;Crime,Drama,Mystery;7.7;298781;Reino Unido, França, Estados Unidos da América, Canadá
tt5363618;1;Sound of Metal;\N;\N;original;\N;1;tt5363618;movie;Sound of Metal;Sound of Metal;0;2019;\N;120;Drama,Music;7.7;161161;Estados Unidos da América
tt5390504;1;Detroit;\N;\N;original;\N;1;tt5390504;movie;Detroit;Detroit;0;2017;\N;143;Crime,Drama,History;7.3;57646;Estados Unidos da América
tt5431890;1;Official Secrets;\N;\N;original;\N;1;tt5431890;movie;Official Secrets;Official Secrets;0;2019;\N;112;Biography,Crime,Drama;7.3;58312;Reino Unido, Estados Unidos da América, China, Canadá
tt5439796;1;Logan Lucky;\N;\N;original;\N;1;tt5439796;movie;Logan Lucky;Logan Lucky;0;2017;\N;118;Action,Comedy,Crime;7.0;172315;Estados Unidos da América, China
tt5462602;1;The Big Sick;\N;\N;original;\N;1;tt5462602;movie;The Big Sick;The Big Sick;0;2017;\N;120;Comedy,Drama,Romance;7.5;147673;Estados Unidos da América
tt5463162;1;Deadpool 2;\N;\N;original;\N;1;tt5463162;movie;Deadpool 2;Deadpool 2;0;2018;\N;119;Action,Adventure,Comedy;7.6;718067;Estados Unidos da América, Canadá
tt5478478;1;Hostiles;\N;\N;original;\N;1;tt5478478;movie;Hostiles;Hostiles;0;2017;\N;134;Drama,Western;7.2;102103;Estados Unidos da América
tt5501104;1;Gräns;\N;\N;original;\N;1;tt5501104;movie;Border;Gräns;0;2018;\N;110;Crime,Drama,Fantasy;7.0;36341;Suécia, Dinamarca
tt5537002;1;Killers of the Flower Moon;\N;\N;original;\N;1;tt5537002;movie;Killers of the Flower Moon;Killers of the Flower Moon;0;2023;\N;206;Crime,Drama,History;7.6;285417;Estados Unidos da América
tt5541848;1;What the Health;\N;\N;original;\N;1;tt5541848;movie;What the Health;What the Health;0;2017;\N;97;Documentary;7.2;30909;Estados Unidos da América
